kpi_name,rows_returned,top_value
active_headcount_over_time,12938,"{'date': datetime.date(1990, 10, 1), 'active_headcount': 1}"
attendance_irregularity_score,29,"{'client_employee_id': '506444', 'attendance_irregularities': 10.0}"
average_tenure_by_department,38,"{'department_id': '209037', 'department_name': '209037-Clinical Manager/Supervisor Law Home Hea', 'avg_tenure_days': 12895.0}"
average_working_hours_per_employee,29,"{'client_employee_id': '505559', 'avg_daily_hours': 12.04125}"
avg_overtime_by_department,16,"{'department_id': '60900', 'department_name': nan, 'avg_hours_worked': 12.823333333333332}"
current_headcount_by_department,35,"{'department_id': '236082', 'department_name': '236082-Home Health Aide Lowell', 'active_headcount': 4}"
early_attrition_rate,1,{'early_attrition_rate': 0.0}
early_departure_count,11,"{'client_employee_id': '505690', 'early_departures': 9}"
late_arrival_frequency,6,"{'client_employee_id': '506444', 'late_arrivals': 8}"
monthly_hiring_trend,43,"{'month': Timestamp('1990-10-01 00:00:00+0000', tz='UTC'), 'hires': 1}"
rolling_average_working_hours,610,"{'client_employee_id': '131', 'punch_apply_date': datetime.date(2025, 9, 16), 'rolling_avg_7day_hours': 8.65}"
total_overtime_count,16,"{'client_employee_id': '506444', 'overtime_days': 41}"
turnover_trend,5,"{'month': Timestamp('2024-10-01 00:00:00+0000', tz='UTC'), 'terminations': 2}"
