department_id|department_name|avg_tenure_days
209037|209037-Clinical Manager/Supervisor Law Home Hea|12895.0
227001|227001-Staff Education Admin|12264.5
247037|247037-Physical Therapist Asst Law Home Health|11908.0
247045|247045-Physical Therapist Asst Seacoast|11796.0
241028|241028-RN MCH|11564.0
217001|217001-Intake Admin|11292.0
63200|63200-Medical Surgical Unit 2|11165.0
246037|246037-Physical Therapist Law Home Health|10935.5
241037|241037-RN Law Home Health|10770.5
214638|214638-Clinical Scheduler Law Hospice|10514.5
72800|72800-CT Scan|10137.0
61100|61100-Intensive Care Unit|10101.0
72300|72300-Ultrasound|10092.0
8000-13204|8000-13204-RCM Registration|10074.0
90420|90420-Informatics|10053.0
71200|71200-Cardiology|10051.0
69000|69000-Labor and Delivery|10032.0
75000|75000-Weight Management Center|10011.0
68250|68250-Lactation Clinic|9969.0
73480|73480-Sleep Lab LSC|9897.0
72640|72640-Anticoagulation Services|9829.0
60900|60900-Special Care Nursery|9794.0
73600|73600-Respiratory Therapy|9780.0
8000-14678|8000-14678-HR Total Rewards|9717.0
220537|220537-Clinical Coordinator Law Home Health|9710.0
8000-13206|8000-13206-Health Information Management|9654.0
98230|98230-Urgent Care Tewksbury|9633.0
69200|69200-Operating Room|9619.0
60700|60700-Mother-Infant Unit|9288.0
214401|214401-Facilities Admin|9155.0
250045|250045-Occupational Therapist Seacoast|6203.0
236082|236082-Home Health Aide Lowell|6078.6
209038|209038-Clinical Manager/Supervisor Law Hospice|5352.0
236037|236037-Home Health Aide Law|4475.5
235540|235540-House - Care Partners|3732.0
236045|236045-Home Health Aide Seacoast|3298.0
246045|246045-Physical Therapist Seacoast|3214.0
220001|220001-Liaison Admin|2920.0
