client_employee_id|avg_daily_hours
505559|12.04125
518|12.0255
493|11.84
747|11.483888888888888
772|10.331428571428571
80|9.0
507271|8.849230769230768
506444|8.72411111111111
507472|8.541875
131|8.520434782608696
505690|8.492758620689655
449|8.470434782608695
25|8.458846153846153
507226|8.345333333333333
507273|8.16625
506423|8.017529411764706
506390|8.0
507210|7.7846153846153845
507272|7.500645161290323
68|7.2355
214|7.141034482758621
267|6.65
505684|6.5227272727272725
505688|6.428
505454|5.93
505683|5.82625
505686|5.825454545454545
505442|5.1854545454545455
505552|5.030909090909091
