department_id|department_name|avg_hours_worked
60900||12.823333333333332
98230|Urgent Care Tewksbury|12.62
73600||12.2
247037|Physical Therapist Asst Law Home Health|8.983529411764707
217001|Intake Admin|8.9825
72800||8.969999999999999
8000-13204|RCM Registration|8.960294117647058
|Clinical Scheduler Law Hospice|8.932222222222222
|RCM Registration|8.887142857142859
|Physical Therapist Asst Seacoast|8.78875
214638|Clinical Scheduler Law Hospice|8.75
72640||8.691428571428572
71200||8.6175
8000-13206|Health Information Management|8.606
75000||7.964285714285714
61100||7.652500000000001
